reviewer_rating,review_date,reviewer_category,text_review
5.0 of 5 bubbles,Written 27 May 2017,Couples,"This is the most amazing place to visit, seeing orangutans in the semi wild is great and the nursery area was great watching a cheeky orangutan with the keepers. "
5.0 of 5 bubbles,Written 24 May 2017,Couples,"This is a wonderful place to visit. Informative, interesting and a fabulous place to see the orangutang up close. You can see they really are trying to conserve the species and that they genuinely care for them. We were lucky to have Fernando from Borneo eco tours who was a font of knowledge and made our trip very special. He had some fantastic photos of his favourite orangutans  and some hilarious stories to share. We both felt very lucky to have him as our guide and he made sure we saw the sunbears and even saw mr Wing who started the Sun Bear Sanctuary. My only criticism is that It's not clear that if you want a polo shirt or t-shirt with orangutang eyes on ( all very cool) you need to buy from the stand outside the shop that also allows you to adopt an orangutang. I was so disappointed as I wanted to do both, but when I asked it was the persons day off and no one could help me. Thankfully I can adopt in U. K and will do as this is definitely a species we should be trying to save."
5.0 of 5 bubbles,Written 23 May 2017,Couples,"If you want to see orangutans near Sandakan, this is the place to go! However it's sad that it's nearly impossible to see orangutans in ""real nature"" but hopefully visit to this place helps everybody to value and respect these unique animals even more. For me, visit to Orangutan Sanctuary was still a dream come true! "
4.0 of 5 bubbles,Written 23 May 2017,Friends,"I was impressed that this place really does appear to function for the benefit of the orangutans rather than we tourists. Consequently there weren't big numbers to be seen, but nevertheless we got some wonderful sightings of these beautiful creatures eating and playing. The walk to and from the 2 viewing areas was quite beautiful and gives you a good idea of the Borneo jungle before its decimation by the palm oil plantations."
4.0 of 5 bubbles,Written 21 May 2017,Solo,"Go in the morning and the afternoon on the same ticket.  The restaurant is reasonable priced too.  If you don't want to go back into the city before the afternoon feeding. I squeezed in a trip to the memorial park, which I totally recommend."
5.0 of 5 bubbles,Written 20 May 2017,Couples,"Just go there, see orang utans, take pictures, have fun, learn about their plight and meet some great volunteers... then help out by adopting one :)But go you must "
4.0 of 5 bubbles,Written 19 May 2017,Couples,"Went here on the 15 and saw orangutans feeding, some monkeys and a black squirrel, not much else I'm afraid."
5.0 of 5 bubbles,Written 18 May 2017,Friends,"We first visited in 2004. On that visit we only had access to the walkways and the viewing platform to the outside feeding area where we were enthralled by the antics of the young Orangutans that were unfortunate to have to be there. I say unfortunate, because of the cutting down of their habitat to plant Palm Oil! On this most recent visit in April 2017 we were also able to view the nursery area of the sanctuary. We were the ones caged in, behind glass windows. But still we were entertained again by these beautiful creatures. The mum and her baby eating a banana being tormented by a young Orangutan who wanted to 'share' the treat. He eventually got some!  The Orangutans have free range over the sanctuary and we were able to see one up close and personal as we came out of the nursery area as a large male wandered over the pathway and fences back into the safety of the nursery area. There is a small shop and cafe area but don't expect lots of stuff to,spend your money on. You are not allowed to take bags or bottled water round with you. You are provided with lockers to place your belongings in and given a key.There is an entrance fee and you also have to pay 10 ringit per camera (£2.00).It is well worth a visit."
5.0 of 5 bubbles,Written 18 May 2017,Couples,We were so lucky to see these amazing creatures.  Unfortunately we didn't see the larger ones at feeding time but the younger orangutans were so cute and were the highlight of the visit.
5.0 of 5 bubbles,Written 17 May 2017,Couples,"You'll get to see these amazing beings up close.Though they are shy, they come much closer than we expected and we couldn't help but being amazed at how fantastic they are, how nurturing and caring. A youngling, a mother with a baby, a male, all in front of our eyes, very comfortable with the fact that 50 people with cameras were meters away. This experience is one of a kind and you will never forget it."
5.0 of 5 bubbles,Written 17 May 2017,Couples,"It's amazing. Purely amazing. Did I mention amazing?..You will be able to see these amazing (!) creatures roam in the Wild. The first sight we had was a male in the trees, moving towards the feeding area. Something that we will remember forever. They approach you enough and are so relaxed about it that you will never forget that day when you were just meters away from an Orangotang that lives in the Wild.Without this visit, your trip won't be complete. With it, your life will definetely be much richer!"
5.0 of 5 bubbles,Written 16 May 2017,Friends,"Its sad that these type of places need to exist, but the work they are carrying out here is amazing. from rescuing orphaned orangutans to giving them the love and care they need to be rehabilitated and released into the wild. "
5.0 of 5 bubbles,Written 16 May 2017,Couples,It was so amazing to see the orangutan swinging in the trees. One inquisitive orangutan came for a closer look. Amazing. We were based in Kota Kinabalu and caught the first air Asia flight to sandakan for £50 return pp. taxi from airport is 40ringgits each way. 30 ringgits pp to get in and 10 for camera. There's an onsite cafe. You have lockers to keep personal items. We spent the full day at orangutan and sun bears. If I went again I think I would just do 1/2 day and catch early afternoon flight rather than evening. You can also stay over but we just wanted to see orangutan and thought the cost from kk return was worth the experience.
5.0 of 5 bubbles,Written 16 May 2017,Couples,"Loved our visit to this centre. Staff are doing a fantastic job and the young orangutans were hilarious. If you can make it to both sessions in the one day-do it!! (You just pay once) We did both and they were completely different! Also, watch the video at the start! "
4.0 of 5 bubbles,Written 16 May 2017,Family,"I went with my 2 year-old daughter and she simply loved walking through the bridge and got super excited to see the orangutan up close and personal. Adjacent to it is the sun bear rehabilitation centre so it's really worth  visit. If your kids love outdoor, they will enjoy the trip."
5.0 of 5 bubbles,Written 15 May 2017,Friends,"You can't come to Borneo and not come to this sanctuary. It's amazing in every way! It's lovely to see how the wilderness is so maintained in a sanctuary like this. It was good to come in the morning by 9 30, see the feeding, after which you can go to the nursery and watch them being fed and play. And after that, go to the sunbears next door and come back for the afternoon feeding, where you do the nursery first and then the outdoors after. A must do! "
2.0 of 5 bubbles,Written 14 May 2017,,"The centre is great for the workit does, although a little more information for visitors would be great, and I really wish there was a way to enforce silence at the feeding areas, but that is no fault of the centre, some people are just the worst. However, the shop next to this centre (which seems to be owned by them?) offers products from brands which have been linked to the palm oil industry (such as nestle). This seems insane. "
4.0 of 5 bubbles,Written 14 May 2017,Family,We were here for 11 years ago and can see that there is a lot of changes so the money goes the right places. Very good service and new look out area for small orangutans. Still worth to visit
5.0 of 5 bubbles,Written 14 May 2017,Couples,We spent almost four/ five hours in the sanctuary. The visit started with a documentary on Orang Utan and the work being done by British charity to rehabilitate Orang Utan found in domestic conditions. Then there was a jungle walk to feeding platform. On the whole good time spent knowing more about previous ancestors of human race.
5.0 of 5 bubbles,Written 14 May 2017,Friends,"The nursery was a new attraction since my last visit, and I thoroughly enjoyed watching the little ones at play.  I could have sat there all day and been entertained.  There must have been plenty of food in the jungle for the big ones, as I visited three times and only one adult turned up at feeding time.  There were orangs however to be spotted in the trees nearby and even on the handrails of the walkway.  We got a view of the rescued pygmy elephants and could hear them trumpeting.  The whole area is well kept and very clean.  You have to put your backpack or bag into a locker, and can't take bottled water inside, so have a good hydrating drink before you go in.  I adopted a little orang for 12 months, and look forward to hearing about her progress."
5.0 of 5 bubbles,Written 12 May 2017,Couples,"There was only 1 orangutan on the feeding platform when we arrived and after watching it feed with it's back to us for 20 minutes, we wandered to check out the nursery.  Here we saw young animals playing on the climbing frames and one even did a rolly polly for the crowd.  The magic happened when we left the nursery and walked back toward the feeding platform, a female orangutan was there in front of us on the path rail, she went up and down and was so close.  Then she went up into the trees and began nesting.  It was a special moment."
5.0 of 5 bubbles,Written 12 May 2017,Family,"We went in the morning and arrived at 9.30am. We went to the nursery first and saw several small orangutans swinging through the climbing frames. We then went on to the 10am feeding table. There were quite a lot of visitors but on the way through the walkway. One possibly teenage orangutan decided to take sport with us, landing on the handrail, then climbing the nearby tree, hanging upside down above us. He managed to grab someone's hat and shot off, very pleased with himself. Not sure whether that would happen again but it was brilliant to be so close.We returned to the nursery at 10.30am and saw 9 baby orangutans gamboling and cavorting with each other. We sat in the viewing room to the left which was cooler and offered better views than the one on the right. It was an experience always to remember."
4.0 of 5 bubbles,Written 11 May 2017,Couples,"We stopped by the Orangutan Sanctuary for the morning feeding.  Despite the rain we saw 4 Orangutans along with wild Long-tailed and Pig-tailed Macaques.  This rescue facility appears to be doing good work since their primary mission is to release Orangutans back into the wild.  They have been very successfully at this mission.  While we did see a wild Orangutan later in our trip at the river, seeing these semi-wild ones up close was a great treat.  I could watch their behavior all day.  So,  it's definitely worth a few hours of your time and if you go you are supporting a great cause."
5.0 of 5 bubbles,Written 11 May 2017,Friends,"Took an early morning flight from Sabah to Sandakan to visit the Sepilok Orangutan Rehabilitation Centre.  Wasn't quite sure what to expect - but it was better than we expected.  We have a private tour guide for the day.  Once we have arrived and left our belongings in the lockers we proceeded to walk into the rain forest.  We were there for the morning feeding (around 10.00 a.m.).  You wait in a viewing area/feeding station and wait for the orangutans to arrive.  It's very exciting when the guides tell you that they are on the way and you wait for the first glimpse.We were lucky enough to see 4/5 orangutans which included a mother and baby and spent approximately 45 minutes just watching.  The quieter it is the better the results.It was amazing to see the youngsters and babies swing and climb through the trees.They are beautiful creatures.Once you leave the viewing point you can walk to the 'nursery' area (indoors with large glass front) where you can view the youngsters learning to climb/swing and develop.At the end of the tour you watch a video which explains what happens at the Centre.There is also a shop where you can buy gifts and adopt a baby orangutan.I am so glad that we travelled the extra distance to see them, and it's so important that the centre continues to ensure the survival of these wonderful animals."
4.0 of 5 bubbles,Written 10 May 2017,Friends,Excellently presented with close views of animals coming in from forest for feeding platforms as they learn to be independent. Need to pay attention to published times when food offered in open forest and then at nursery. 
5.0 of 5 bubbles,Written 10 May 2017,Couples,Fabulous experience looking at happy orangutans! Knowledgable staff and pleasant little cafe adjoining.
5.0 of 5 bubbles,Written 7 May 2017,Couples,"This is a magical place to view these creatures in there natural habitat. Amazing to watch, could have watched them for hours."
4.0 of 5 bubbles,Written 6 May 2017,Solo,"The public bus (#14) was perfect and for one person the cheapest solution. I could reach the first feeding and had enough time after the afternoon feeding. There was no need to hurry. The first feeding section was horrible. The platform was full with people, impatient screaming children. It's not surprise that only one orangutan arrived. If i had left after the first feeding I would have been disappointed from the centre. I stayed for the afternoon section and it was great: few people, silence, many orangutans. "
5.0 of 5 bubbles,Written 4 May 2017,Couples,"My wife and I were here as part of a group. The first part of the visit is the nursery and despite there being quite a few people here, we were able to get plenty of quality time watching the rescued baby orangutans. We then moved on to the feeding station in the forest and yes there were several people here also but got great views of the more adult orangutans, however after about 20 minutes nearly all the crowd had moved on leaving around 6/8 of us. It was then, when quieter, that several orangutans came in to feed and we got some great quality time watching these wonderful creatures. One of the most memorable times of my life and something I will never forget.Eventually we went back to the Centre and watched a film about why this is happening! Something had to be done to stop the deforestation that is causing this problem?We did our 'bit' and bought tee shirts, polo shirts and adopted a baby orangutan. We will continue this sponsorship as a small way to help this wonderful centre survive.Please go and do the same!"
4.0 of 5 bubbles,Written 4 May 2017,Couples,"A little bit disappointed as the day we were there not many orangutans,only one on the feeding area , such a shame "
3.0 of 5 bubbles,Written 4 May 2017,Solo,+ transportation from Sandakan to Sepilok by Bus (3RM) or Minivan (6RM)+ broschures and informations+ locker for backpacks+ habitat for the animals- staff was really unmotivated and unfriendly on my day of visit- crowded (of course everyone wants to see the Orang Utans :))- 30 RM for Non-Malaysians- extracharge for cameras
3.0 of 5 bubbles,Written 4 May 2017,Family,"We planned a trip expecting to see lots of  OrangUtans like any other in situ conservation sites. Our expectations were crushed when we only saw two medium size female OrangUtan as they were with their babies. Our disappointment was however assured when we read about the least dependence of OrangUtan on feeding means they have regained the skills of finding their food in the wild, thus indicating the success of the in situ conservation program. The information on the board was useful but for younger kiddies, interactive platforms maybe more useful. We also felt that the feeding period was a bit short. "
5.0 of 5 bubbles,Written 4 May 2017,Couples,"The cost for this attraction was 30 each and make sure you have cash as they do not accept credit cards. Make sure you watch the film as it gives you good information. The nursery is ok but it feels like being in a zoo. If you are lucky you might see some of these magnificent animals whilst walking around the paths. We did, it was amazing to see them playing in the trees. We also saw a couple at the feeding platform. If you are staying in the area  your day ticket will allow you to come to both feeding sessions.Sent from my iPhone"
5.0 of 5 bubbles,Written 3 May 2017,Couples,"So lovely to watch the orangutans feeding and then in the nursery watching the little ones play and have fun. Very worthwhile and lots of onangutans to see. Pity there was not a bigger shop to buy souvineers. We would have bought heaps. Instead it was left to a volunteer english group to sell us a tshirt from their stand, only manned a few hours a day."
4.0 of 5 bubbles,Written 3 May 2017,Couples,"Beautiful rainforest and good for a nice short walk. Unfortunately a part of the walk way was closed during our visit. So the ticket price was a bit expensive for what was open. As it is no zoo, don't expect to see Orang Utans. At the nursery the chance to see baby Orangs is good, but not even during feeding time adult Orangs appeared. "
5.0 of 5 bubbles,Written 2 May 2017,Couples,The orangutan sanctuary is about 20 minutes from downtown Sandakan and is a very good place for education on Orangutans and the sanctuary is a 43 sq km forest without cages to observe orangutans being rehabilitated. There are 2 daily feedings but they do not call out the the orangutans so they do not get dependent on it and you might not get to see any. We were lucky to see 2 mothers with their children at the morning feeding as well as some other monkeys and black squirrels that got there before the orangutans
5.0 of 5 bubbles,Written 2 May 2017,Family,"It was a relief that this place was nothing like other 'sanctuaries' I have visited in Asia. What a wonderful place with inspiring goals. The nursery is delightful to sit in and watch the babies. With the amount of space the Orangutans have, they are obviously not guaranteed at feeding times but worth the wait. TOP TIP - walk around at the feeding times, they have a tendency to be wondering around the walk ways.  "
4.0 of 5 bubbles,Written 1 May 2017,Family,"we visited in the morning and it was way too crowded, so came back in the afternoon, we were lucky to encounter a young orangutan swinging on the gate we had to walk through, we sat and watched him having fun swinging the gate back and forth, a staff member moved him along after some time, you have to be patient and wait for the orangutans to come to the eating platform, when we arrived there was only one for about 15 minutes, most people left but we sat and waited and slowly more came, they will only come if they want to and also depends on how many are being rehabilitated and then they are returned to the wild."
5.0 of 5 bubbles,Written 1 May 2017,Couples,"Having just arrived, myself, husband and guide were walking along the boardwalk when he alerted us to an orangutan with a baby on the handrail. We steadily followed, not getting too close, but she obviously didn't like us being there so showed her teeth, jumped down and chased us!  We came to no harm and it gave us something to talk about! We later saw the same orangutan, called Mimi, on the feeding platform along with others. Some were swinging in the trees behind us. We visited on two consecutive mornings and were lucky enough to see both wild and rehabilitated orangutan on both occasions. It's a great place to see a variety of birdlife too, along with other wildlife. The nursery inhabitants were enjoying life and provided amusement as well as a lot of photo opportunities.  I think this is well run and they actively try to encourage your involvement/support for the centre. Make sure you watch the video explaining the work they do."
4.0 of 5 bubbles,Written 29 April 2017,,"Firstly, don't go in the morning. We only briefly saw one orangutan swinging in the canopy for maybe 2 minutes and then disappeared. We waited at the feeding platform for over an hour and no one came. We then tried the afternoon session which was everything we could have hoped for. We saw 7 orangutans total, 2 of which had babies with them. We were lucky to see 2 of them really close walk by us on the boardwalk, and also a real special treat. 2 of them started having sex on the feeding platform. Yes you're reading that correctly. They did it off and on for 15-20 minutes which was something I never expected to see. It's a bit touristy but you still feel like you're in the middle of the jungle and in the wild so we're  very happy we came here, great orangutan experience. You also have to pay to bring your camera in, so keep that in mind. "
5.0 of 5 bubbles,Written 29 April 2017,Solo,Little orangutans are very playful.Arrive early and head straight to the playground for the little orangutans as they are more active in the earlier day/morning.Arrive c. 20mins before the feeding at the feeding ground.
4.0 of 5 bubbles,Written 28 April 2017,Family,"Highly informative and well-respected sanctuary this is a 'must-see'.  Can be done easily in half a day, including the adjacent sun bear sanctuary"
4.0 of 5 bubbles,Written 28 April 2017,Solo,Unfortunately no orangutans showed up for the afternoon feeding session. It was a national holiday and there were many people at the viewing platform. We went back to the nursery and I got some great pictures so that's an option if the feeding time is a bust.
5.0 of 5 bubbles,Written 27 April 2017,Friends,"We visited the Centre today, flying in from KK in the morning.The centre is around 30 - 40 mins from the airport & straight across the road from the Sunbears.The first video info session is at 9am & feeding is at 10 am... so if you fly in early, be prepared to wait in the cafe as there is not much else to do.As the Centre is based on protected Jungle the animals roam around in the open & are not separated by fence or glass, this means you may see many or none.we only saw one at the feeding, however came within an arms length of 2 Orangutans as they walked down the people walkway.We were only there for around 1.5 hours, but this was plenty of time.The conservation/rescue work is amazing."
4.0 of 5 bubbles,Written 27 April 2017,Couples,"We visited here on two occasions, once in a morning, which was rammed with coach loads of noisy people who frankly seemed disinterested in the one orang-utan and baby that turned up at the feeding platform. The trails were closed for whatever reason, as no information was given as to why - I'd certainly liked to have walked the trails away from the crowds. We went back a week later on an afternoon and it was much quieter and were rewarded with considerably more orang-utans both in the nursery and the feeding platform and an incredible moment when one came crashing thru the trees and landed right next to us and wandered up and down the handrail.... great moment."
5.0 of 5 bubbles,Written 26 April 2017,Couples,"We visited the Sepilok Orangutan Sanctuary and loved every second of the 3+ hours we spent there. Just before feeding time we passed by 3 Orangutans less then a metre away, making their way towards the nursery. The staff are amazing at what they do and make sure the apes are not interfered with by the visitors and a free to roam around the grounds as freely as the would in the wild!! Definitely a must do in Borneo"
5.0 of 5 bubbles,Written 24 April 2017,Couples,This has to be one of the must see places to go the experience is something you can't miss. We even say a fully wild Orang-utan that liked to socialise with the rehabilitated ones.We got to literally feet away for them but only on there terms as one pinched the wires camera case (luckily not the camera).The work that is done there is amazing and is definitely worth supporting.
3.0 of 5 bubbles,Written 23 April 2017,Couples,"We expected to spend a few hours here but was only here for an hour. Came to see the orangutans being fed and thats all there is to do at this place. It is worth it to see the orangutans but dont stay in sepilok more than a day, because there is nothing else to do except see the orangutans and sun bears, and that only takes two hours tops. There were soooo many people watching the orangutans in the morning feeding, so maybe go to the afternoon feeding. And get there early to stand at the front. "
5.0 of 5 bubbles,Written 23 April 2017,Couples,"Fantastic way to see the Orangutans .Avoid feeding time if you don't like crowds .To be busy for me , so I wandered around whilst everyone was pushing to get a good view at the feeding station .And got to see to two of wonderful beings doing there thing . Superb! "
5.0 of 5 bubbles,Written 23 April 2017,,"This is my second time visiting this place and i am quite happy to say that the place is well maintained and i can see that the people working here appreciate the opportunity they have to be involved in such a unique program. I loved the night tour that we did. It was absolutely worth it! We had 2 guides ; 1 from the tour that we paid for and another 1 provided by the center which is mandatory. The animals we saw- young white viper, flying squirrels, different insects, fruit bat and more! I found the guide provided by the center to be very knowledgeable and respectful of the animals which is great since you don't want to startle them otherwise they'd be running away. Once again, a great experience for us!"
5.0 of 5 bubbles,Written 22 April 2017,Couples,"We visited 4 times during our stay, twice in the day and twice to do the night walk. Each time in the day we saw many orangutans; in the outdoor nursery, in the jungle close to the boardwalk or on the hand rail, and at the feeding platform. The feeding is at 10am and 3pm each day. Get there early if you want a front row spot! (About 9.45) You can't take bags in but can have a camera or phone. The outdoor nursery is open in the morning and again in the afternoon. We saw much more in the afternoon - 12 orangutans there at one time. The night walk is also a must. 30myr each. You meet your guide at the entrance at 6pm just before sunset. You get to see flying squirrels as they start to come out to hunt. Also lots of other things like snake, frog, orangutans, birds, stick insects and scorpions. We were lucky to see a slow loris too. The guides are great at spotting things!"
5.0 of 5 bubbles,Written 22 April 2017,Friends,"We booked to visit the Orangutan Sanctuary at Sepilok with Borneo Calling as part of a larger trip. The area is very clean and well maintained. We loved watching the young Orangutans playing in the nursery section. There are lots of ropes, swings and obstacles that are designed to help build up the young Orangutans climbing strength. We learnt so much from the guides, video presentation and photographs in the display area.A great place to guarantee sightings of the Orangutans and we were able to see them at the morning feeding time.But please be careful on the wooden walkways, the boards can get very slippery after a downpour."
5.0 of 5 bubbles,Written 22 April 2017,,"A great way to spend a few hours, especially the outdoor nursery to see the youngsters. Feeding times are a highlight, but get there early as (a) it gets busy so you get a front row spot and (b) the orangutans also arrive early and you get to see them in relative peace before the feeding (and the crowds)"
5.0 of 5 bubbles,Written 21 April 2017,Solo,"Spent two fantastic mornings at the SORC, in time to see two 10am feedings on Platform A. The feedings attract some of the mother's with their young, which is great to see. The nursery also offers a very close view of some of the younger orangutans playing and feeding - make sure your visit includes a stop here.Sadly, the walking trails were not open during my time here. Not sure how easy it is to spot the apes on these trails, but I came across a few who were walking the public walkways in the small part that was open to us anyway ! The video shown opposite reception (20 mins) is well worth a watch to get a bit of background on the centreThe cafe (located in front of the site) serves a decent selection of food and drinks"
5.0 of 5 bubbles,Written 21 April 2017,Couples,"We came here 12 years ago and were very glad to come back.  It hasn't changed much and the excellent work that the staff and volunteers do continues to help save the wonderful orangutan.  We went to both the feeding sessions at 10am and at 3pm.  The 3pm session has fewer visitors so is a better time to go.  The biggest change from the last time we visited was the creation of the viewing gallery in the nursery to watch the youngest of the orphans who are very entertaining to watch.  You can take photos here but the reflection from the glass front is a problem.We were extremely lucky to be treated to what can only be described as a star performance from orangutan Rosa who decided to come and say hello to a group of us gathered by the bag lockers.  She posed for photos, showing off and often smiling straight into the cameras and pretended to sunbathe on the roof.  We were only 3 metres from her and she loved the attention.  This lasted about 15 minutes until she decided that was enough and disappeared back into the trees.  It was well worth the expense of the trip just for that alone!If you're based in Kota Kinabalu and plan to go with a travel agent based in your hotel make sure you book well in advance, at least a few days.  The price of the excursion does not include the air fare which can go up from booking to booking.  So be warned that you could be paying twice as much air fare as the person who just booked it in front of you.  If you book in advance you stand a better chance of avoiding this annoying fluctuation.The sun bear sanctuary is also on site and well worth a visit.  Not so good as the orangutan, but the people there are doing a magnificent job too."
5.0 of 5 bubbles,Written 21 April 2017,Couples,"This is an excellent experience and you get the sense that you're supporting an excellent initiative. You can see orangutans feeding as well as younger ones playing in the nursery. That was my highlight.Only downside: compared say to seeing orangutans in Sarawak this felt a little crowded including visitors with cameras the size of rocket launchers. And, perhaps staff could tell people​ to be quiet more. That said, overall a great place to go."
4.0 of 5 bubbles,Written 20 April 2017,,I was worried it might be more about keeping some orangutans to get the tourist dollar than a rehab centre but was really pleased to find out my concerns were unfounded. It definitely appears to be a genuine rehab centre and the fact that you may be unlucky and not see an orangutan even at feeding time is part of the proof and a good thing as it means that generally the orangutans are feeding themselves as they should be! I have seen that some visitors don't get to see even one orangutan as none come to feed that day but we were very lucky!  We went twice - morning and afternoon. The afternoon was much better - few people and we really got lucky - three times an orangutan came out of the forest and crossed the boardwalk right beside us - only one time was anyone else around and the rangers arrived quickly to keep you from getting too close to the orangutan. The other two times we got to watch the orangutan climbing and eating in a tree beside the boardwalk - really close up which was fantastic!! A few others came upon us and got to watch too but no crowds so it was good. The morning seemed very crowded in comparison. Other things - The butterflies we saw were also stunning - and a troupe of long tailed macaques an added bonus (even if they are seen a lot!!) The reason for the 4 star not 5 is simply because after going to the sunbear centre next door we were so impressed with the staff there and their chatting to you and information they give you in your chats and their obvious passion - which we didn't see here. To be fair though there are probably a lot more people going to the orangutans than the bears and staff probably get sick of tourists but the difference was noticeable!! However as said - a lovely place which appears to be a very genuine rescue and rehab centre and the boardwalk through the forest is really nice in itself!! 
5.0 of 5 bubbles,Written 20 April 2017,Couples,Magical visit to see these amazing  animals close up. Young ones in trees as we approached then we saw 2 mothers with babies on feeding platform. Their expressive faces and almost human behavior was fascinating. At 30 ringgit each - less than £6 it was well worth the money especially as it goes to the running of the centre. They also help orphaned babies and release then back into wild. There are many overpriced trips advertised but if you can organise your own travel you save lots. We also did the evening walk seeing even more orangutans so close they were  almost touching us. With a personal guide to find exciting wildlife in the dark such as flying squirrels and slow loris. Again only 30 ringgit each.
2.0 of 5 bubbles,Written 20 April 2017,Friends,"Very sad to rate this so bad however this venue isn't all it's made out to be in my opinion.I've had on my bucket list since being a child to come to Borneo and experience time sitting in the jungle with these beautiful animals. Planned and organized this trip for months and was so disappointing. The reserve is massive but you can only venture in a few hundred meter at the most, lots of trails closed and only the walkways close to the nursery area available to visit. In my opinion there are too many people allowed at once, it was noisy with kids screaming and no one telling them to be quiet. Adults also were laughing and joking around. Saw only one small Orangutan and then it was quickly moved away as too many people around (even though she decided to come down from the trees herself) Visiting hours are sectioned so be sure to get here early before the crowds or later when everyone has gone.Travelled half way across the world to experience the tranquillity and serenity of being on the jungle and was hugely disappointed and won't ever get the chance again to see in the wild/semi wild.Personally I found the sunbear reserve a lot more engaging and educational and would recommend to anyone wanting to understand more about this animal and the threats to its existence by man!"
5.0 of 5 bubbles,Written 18 April 2017,Couples,very touched by the dedication and the way the animals are treated and rehabilitated.a must do visit.
5.0 of 5 bubbles,Written 18 April 2017,Family,"This is the must do attraction in Sandakan. We were always going to visit it was just a question of organising things.There are plenty of expensive tours from KK - but I'd advise against them. Just book the plan tickets (not included in the tours anyway) and we hired a car from Hertx for £30 or so for the day.Entrance to thee park is 30 Ringit (10 I think for teens?) + something to take in cameras with proper lenses.It's next door to the sun bear rehabilitation centre too (less impressive), they share the same car park.Get there for the 10 am feeding - but plan to go back for the 3pm too - there's far fewer people (no tour groups) and as it's quieter, you have a better chance of more orang-utangs coming to the platform.Sadly when we visited the trails were closed (supposedly because some idiot tourists had been feeding the orang-utangs). Bring insect repellant (but not into the reserve), maybe a poncho/umbrella. You can't take bags (even camera bags) in - so either pick one lens and stick to it, or pack stuff in pockets. We did lunch at the resort just up the road, overlooking the lagoon."
4.0 of 5 bubbles,Written 18 April 2017,Friends,This is a well done rehabilitation center for distressed orang utang. Some stay for decades! Draws lots of visitors and can get busy around feeding time.  Some of the infrastructure is getting a bit old. Footpath needs replacing soon.
5.0 of 5 bubbles,Written 17 April 2017,Couples,"I would actually like to give this about 50 stars - but I can't.However, I am also well aware that we were incredibly lucky.  Some peole at the same hotel as us went the next day and only saw one Orag Utan.............We must have seen, 20?, 30? 40? 50?...........  I don't know because we lost count.So you pay your money and take your chance - if you hit a bad day you won't see anything but if, like us, you hit a good day - what an experience!  Ten minutes afer going through the gate 2 adult Orang Utan came within a metre.  4 hours later an adult female tried to 'mug' me, and between those two experiences we saw countless baby Orang, adults eating and playing and numerous other sights too many to mention.Yes, we were lucky -  but WOW!"
3.0 of 5 bubbles,Written 17 April 2017,Friends,"About half hour from Sandakan Town, it's a open space with 15min walking on wooden path walkway to the conservation.  Visitor might need to get ready with umbrella if the weather not favorable. "
5.0 of 5 bubbles,Written 16 April 2017,Family,"A an orangutan lover, thanks to Clint Eastwood and Clive, found it very interesting to see the great work going on here. The presentation was I formative and helped put the plight or the orangutan into perspective. The UK Orangutan representative, David, was extremely knowledgeable and passionate."
5.0 of 5 bubbles,Written 16 April 2017,Couples,Great day out from Kota Kinabalu. Caught an Air Asia flight out early with a 2pm flight back. Gives you plenty of time to see the orangutans. As we got there early we had time to kill and one of the orangutans kept us entertained by posing and hanging out the front. The 10am feeding session and outdoor nursery were both the highlights. Got to see some orangutans quite up close so great day out. 
5.0 of 5 bubbles,Written 16 April 2017,Couples,"This sanctuary at Sepilok is outstanding. There is an excellent documentary video to see before the visit. This gives an overview of the work of the sanctuary and insight  into the lives of two particular orangutans. The set up of the site is wonderful , accessible to all, set in jungle it is a delight after the kilometres of palm oil plantations outside. The cafe food was excellent. We could have spent out entire week here watching the young orangutans playing and learning in the nursery or sitting at the feeding platforms watching mothers help their young or hang from ropes eating fruit. "
5.0 of 5 bubbles,Written 15 April 2017,Family,We organized all by ourselves . Plane from kk 200 rm per person both ways. Taxi to sepilog from the airport:40rm. Tickets to enter: 2 adults 1 child :75 rm. sepilog open since 9.am. Feeding at 10.00. A lot of people.... and total lack of respect for others : everybody are talking watching monkeys. Dramatic experience. Somebody was upset and made a noisy scream that everybody else were for a moment silent. 
5.0 of 5 bubbles,Written 14 April 2017,Solo,"What an incredible day. Started with the babies at the nursery first. Fun time for them and us. Only 1 orangutan turned up at morning feeding but loads of other monkeys. Our tour guide then took us to Proboscis Santuary then back here for lunch, next door to Sun Bear centre, then back here for afternoon feeding time. Most people do morning only, so there were less people here at afternoon but 8 organutans came  including some mums n bubs.  Wow. They were also walking along the hand rails of the boardwalk right next to us.  What a day and worth doing all the things in the area and both feedings if you have time.  Do not miss coming here."
5.0 of 5 bubbles,Written 14 April 2017,Friends,"You get an introduction to the sanctuary, a video and an explanation of what they do. Then you can walk round to the nursery where the little ones live in captivity (for their own protection), but with lots of space. The second part is along wooden platforms in the jungle, where the Orang Utans live close, but in the wild. They have the possibility to venture as far out into the jungle as they like, and some never return. There is food for the resent releases, and they come and eat while you wait quietly. No real interaction cause they are in their habitat."
